administration,case_caption,date_initiated,policy_area,specific_policy,litigation_target,result_type,injunction_issued,general_success,case_stage,dispute_category,eo_related_first_pass,citation_or_docket,opinion_links_or_titles,status_summary,coding_note
Donald Trump (First Term),California v. EPA,2018-05-01,Environment,Vehicle Emission Standards,U.S. Environmental Protection Agency,state_loss,,"Failure, Procedural Dismissal","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,18-1114,(2019.10.25) California v. EPA - Opinion [D.C. Cir.] (2019.11.14) California v. EPA - Amended Opinion [D.C. Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2018.5.1-California-v.-EPA-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/10/2019.10.25-California-v.-EPA-Opinion-D.C.-Cir..pdf; https://attorneysgeneral.org/wp-content/uploads/2019/11/2019.11.14-California-v.-EPA-Amended-Opinion-D.C.-Cir..pdf,"On 10/25/19, the three-judge panel unanimously dismissed the case for lack of jurisdiction, holding that the lawsuit was premature.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. EPA,2018-05-31,Environment,Landfill Emissions Rules,U.S. Environmental Protection Agency,adverse_tro_or_injunction; adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Active, Appellate Court, Awaiting Decision After Argument",Funding / grant or program cuts,No obvious EO link in AG metadata,19-17480,(2019.05.06) California v. EPA - Order Granting in Part Plaintiff's Motion for Summary Judgment [N.D. Cal.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2018.5.31-California-v.-EPA.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2019.05.06-California-v.-EPA-Order-Granting-in-Part-Plaintiffs-Motion-for-Summary-Judgment-N.D.-Cal..pdf,"The court granted partial summary judgment to the plaintiff states on 5/6/19, ordering the EPA to address the state plans. The EPA filed a motion to alter the final judgment in light of its finalization of new landfill rules, which the court denied. The EPA filed an appeal of this denial to the Ninth Circuit. Oral argument occurred on 7/17/20.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),City of Council Bluffs v. U.S. Department of the Interior,2018-06-01,Other,Tribal Gaming Rights,U.S. Department of the Interior,state_loss,,"Failure, Merits Decision","Case Active, Appellate Court, Pre-Argument Briefing",Funding / grant or program cuts,No obvious EO link in AG metadata,1:17-cv-00033,links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2018.06.01-City-of-Council-Bluffs-v.-U.S.-Department-of-the-Interior-Intervenor-Complaint-IA-S.D.-Iowa.pdf,"On 3/26/19, the court granted partial summary judgment to the Ponca Tribe, upholding the federal defendants' gaming decision. The case is currently on appeal ( 19-02898).",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Public Citizen v. Trump,2018-06-04,Other,"""2-for-1"" Regulatory Order",Office of Management and Budget (EoP),state_loss,,"Failure, Procedural Dismissal","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,Possible presidential-directive/OMB-related,361 F. Supp. 3d 60,(2017.02.08) Public Citizen v. Trump - Memorandum Opinion and Order [D.D.C.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2018.6.5-Public-Citizen-v.-Trump-Motion-to-Intervene.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/06/2017.02.08-Public-Citizen-v.-Trump-Memorandum-Opinion-and-Order-D.D.C..pdf,The court denied the AGs' motion to intervene as premature on 2/8/19. The AGs later filed a complaint in a separate case challenging the order on 4/4/19.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. Wheeler,2018-06-26,Environment,Recission of Hydrofluorocarbons Regulation,U.S. Environmental Protection Agency,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,18-1174,"(2020.04.07) New York v. EPA - Opinion [D.C. Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2018.6.26-New-York-v.-EPA-Complaint.pdf; https://scholar.google.com/scholar_case?case=10040450942585177154&amp;q=wheeler+18-1174&amp;hl=en&amp;as_sdt=6,50","On 4/7/20, the three-judge panel decided 2-1 in favor of the state plaintiffs, vacating the 2018 rule.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. Mnunchin,2018-07-17,Other,SALT Tax Deduction,U.S. Department of the Treasury; Internal Revenue Service (Treasury),state_loss,,"Failure, Merits Decision","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,21-966,(2021.10.05) New York v. Yellen - Opinion [2nd Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2018.7.17-New-York-v.-Mnunchin-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2021/10/2021.10.05-New-York-v.-Yellen-Opinion-2nd-Cir..pdf,"Judge Oetken granted the federal defendants' motion to dismiss on 9/30/19, thus upholding the SALT deduction cap. On 10/5/21, the Second Circuit upheld the district court, which the plaintiff states appealed to the U.S. Supreme Court. The Court denied certiorari on 4/18/22.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. U.S. Department of Justice,2018-07-18,Immigration,Sanctuary Cities,U.S. Department of Justice,adverse_tro_or_injunction,National Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Immigration / presidential directive,No obvious EO link in AG metadata,19-267,"(2018.11.30) New York v. DOJ - Opinion [S.D.N.Y.] (2020.02.26) New York v. DOJ - Opinion [2nd Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2018.7.18-New-York-v.-U.S.-Department-of-Justice-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/02/2018.11.30-New-York-v.-DOJ-Opinion-S.D.N.Y..pdf; https://scholar.google.com/scholar_case?case=13903460348037257609&amp;q=new+york+19-267+sanctuary&amp;hl=en&amp;as_sdt=6,50","The district court sided with the states, ruling that DOJ's conditions on the FY 2017 grants were unlawful. However, a three-judge panel of the Second Circuit reversed, holding that the administration can withhold the grants. The full Second Circuit denied en banc review by a 12-4 vote. The states petitioned for certiorari to the U.S. Supreme Court (20-795), but dismissed their appeal following the change in presidential administrations.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. Department of Labor,2018-07-26,Health Care,Expansion of Association Health Plans,U.S. Department of Labor,adverse_merits_or_partial_merits,No Injunction Issued (Not Requested),"Success, Merits Decision","Case Active, Appellate Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,19-5125,(2019.03.28) New York v. Department of Labor - Order Granting Plaintiffs' Motion for Summary Judgment | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/7.26.2018-New-York-v.-Department-of-Labor-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2019.03.28-New-York-v.-Department-of-Labor-Order-Granting-Plaintiffs-Motion-for-Summary-Judgment.pdf,"The district court granted summary judgment to the plaintiffs, setting aside the rule. The federal government appealed to the D.C. Circuit, which held the case in abeyance during further rulemaking until the appeal was voluntarily dismissed by the federal defendants.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Washington v. Department of State,2018-07-30,Other,3D Printed Guns Settlement,U.S. Department of State,adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,20-35030,(2018.07.31) Washington v. Department of State - Order Granting Emergency TRO (2018.08.27) Washington v. Department of State - Order Granting a Preliminary Injunction (2018.11.13) Washington v. Department of State - Order Denying Private Defendants' Motion to Dismiss (2020.07.21) Washington State v. U.S. Department of State - Order [9th Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/7.30.2018-Washington-v.-Department-of-State-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2018.07.31-Washington-v.-Department-of-State-Order-Granting-Emergency-TRO.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2018.08.27-Washington-v.-Department-of-State-Order-Granting-a-Preliminary-Injunction.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2018.11.13-Washington-v.-Department-of-State-Order-Denying-Private-Defendants-Motion-to-Dismiss.pdf; https://attorneysgeneral.org/wp-content/uploads/2020/10/2020.07.21-Washington-State-v.-U.S.-Department-of-State-Order-9th-Cir..pdf,"The court granted a preliminary injunction blocking distribution of plans for the 3D-printed guns on 8/27/19 and on 11/12/19 blocked the federal defendants from allowing downloads of the gun blueprints. Defense Distributed appealed to the Ninth Circuit, which dismissed the case on mootness grounds on 7/21/20. The court rejected a petition for en banc review on 1/5/21.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Illinois v. EPA,2018-08-02,Environment,NAAQS Ozone Designations,U.S. Environmental Protection Agency,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,18-1208,(2020.07.10) Illinois v. EPA - Opinion [D.C. Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2018.08.02-Illinois-v.-EPA-Petition-for-Review-D.C.-Cir..pdf; https://attorneysgeneral.org/wp-content/uploads/2020/10/2020.07.10-Illinois-v.-EPA-Opinion-D.C.-Cir..pdf,"On 7/10/20, the court held largely in favor of Illinois and the supporting amici states, granting several of the petitions.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. Department of the Interior,2018-09-05,Environment,Migratory Bird Treaty Act,U.S. Department of the Interior; U.S. Fish and Wildlife Service (Interior),adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,20-03491,links: https://attorneysgeneral.org/wp-content/uploads/2019/01/9.5.2018-NY-v.-Dept-of-the-Interior-Complaint.pdf,"On 8/11/20, the court held in favor of the plaintiff states, vacating the administrative opinion challenged in the case. The case was appealed by the Trump Administration, but subsequently dismissed by the Biden Administration following reversal of the Jorjani Opinion at issue in the case.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Vermont v. EPA,2018-09-10,Environment,Mercury Inventory Rule,U.S. Environmental Protection Agency,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,18-2670,(2020.06.05) Vermont v. EPA - Opinion [2nd Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/01/2018.9.10-Vermont-v.-EPA-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2020/06/2020.06.05-Vermont-v.-EPA-Opinion-2nd-Cir..pdf,"On 6/5/20, the court ruled largely in favor of the states, holding that the Administration's exemption of product importers from mercury reporting requirements was an unlawful interpretation of the underlying statute.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
